Product Name,Category,Price,City
Джем из Красного сицилийского апельсина 220 гр,Антипасти,3 500 Т,Astana
Plaza Del Sol Оливки с перцем чили 280 гр,Антипасти,1 700 Т,Astana
Plaza Del Sol Оливки с ветчиной 280 гр,Антипасти,1 700 Т,Astana
Plaza Del Sol Оливки с чоризо 280 гр,Антипасти,1 700 Т,Astana
Маслины без косточек Saporite Le Bonta 3100 мл,Антипасти,18 800 Т,Astana
Le Bonta Брускетта с черными оливками 212 мл,Антипасти,2 700 Т,Astana
Plaza Del Sol Оливки целые Арбекина 350 гр,Антипасти,2 200 Т,Astana
Le Bonta Брускетта с вялеными помидорами 212 мл,Антипасти,2 700 Т,Astana
Plaza Del Sol Перец зеленый чили маринованный 300 гр,Антипасти,2 200 Т,Astana
Plaza Del Sol Оливки с перцем 280 гр,Антипасти,1 700 Т,Astana
Le Bonta Брускетта пикантная 212 мл,Антипасти,2 700 Т,Astana
Plaza Del Sol Бандерилья классическая 350 гр,Антипасти,1 700 Т,Astana
Plaza Del Sol Оливки с чесноком 280 гр,Антипасти,1 700 Т,Astana
Plaza Del Sol Каперсы в уксусе 110 гр,Антипасти,1 300 Т,Astana
Plaza Del Sol Оливки Гордал с перцем 350 гр,Антипасти,2 200 Т,Astana
"Джем из Сицилийского лимона, 220 гр",Антипасти,3 500 Т,Astana
Артишоки со стеблями Alla Romana Le Bonta 3100 мл,Антипасти,24 000 Т,Astana
Alicos  Паштет-тапенад из зеленых оливок 190 гр,Антипасти,3 600 Т,Astana
Помидоры вяленые alla Pugliese 1700 мл,Антипасти,10 800 Т,Astana
Томатный соус с Каперсами и Оливками Alicos 350 гр,Антипасти,2 000 Т,Astana
Plaza Del Sol Огурчики маринованные 350 гр,Антипасти,1 700 Т,Astana
Alicos Паштет-тапенад из цуккини 190 гр,Антипасти,990 Т,Astana
Песто из дикого фенхеля Alicos 190 гр,Антипасти,3 600 Т,Astana
Plaza Del Sol Бандерилья пикантная 350 гр,Антипасти,1 700 Т,Astana
Песто Трапанезе Alicos 190 гр,Антипасти,3 600 Т,Astana
Паста из Чили перца Alicos 190 гр,Антипасти,3 600 Т,Astana
Alicos Паштет-тапенад из черных оливок 190 гр,Антипасти,3 600 Т,Astana
Le Bonta Соус для пасты Alla Puttanesca 314 мл,Антипасти,2 900 Т,Astana
Помидоры полувяленные GiLiegino Le Bonta 314 мл,Антипасти,4 000 Т,Astana
Alicos Соус Сицилийская Капоната 190 гр,Антипасти,3 600 Т,Astana
Alicos Соус Песто по Сицилийски 190 гр,Антипасти,3 600 Т,Astana
Alicos Соус Пассата с помидорами черри 330 гр,Антипасти,2 000 Т,Astana
Plaza Del Sol Андалузский коктейль (оливки микс и маринованные огурчики) 350 гр,Антипасти,1 700 Т,Astana
Лук на Гриле Borettane Le Bonta 314 мл,Антипасти,3 500 Т,Astana
